164916	16:39:41.292	0.00157785	Gppw.exe	IRP_MJ_WRITE                        	COM9	SUCCESS	Length: 13, Data: 02 45 30 30 30 45 31 34 30 36 03 45 38 	
164917	16:39:41.292	0.05945532	Gppw.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 1, Data: 02 	
164918	16:39:41.352	0.00000615	Gppw.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 1, Data: 31 	
164919	16:39:41.352	0.00000391	Gppw.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 1, Data: 37 	
164920	16:39:41.352	0.00000391	Gppw.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 1, Data: 30 	
164921	16:39:41.352	0.00000391	Gppw.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 1, Data: 30 	
164922	16:39:41.352	0.00000391	Gppw.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 1, Data: 31 	
164923	16:39:41.352	0.00000363	Gppw.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 1, Data: 36 	
164924	16:39:41.352	0.00000391	Gppw.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 1, Data: 30 	
164925	16:39:41.352	0.00000363	Gppw.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 1, Data: 30 	
164926	16:39:41.352	0.00000363	Gppw.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 1, Data: 32 	
164927	16:39:41.352	0.00000363	Gppw.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 1, Data: 35 	
164928	16:39:41.352	0.00000363	Gppw.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 1, Data: 30 	
164929	16:39:41.352	0.00000363	Gppw.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 1, Data: 30 	
164930	16:39:41.352	0.00000363	Gppw.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 1, Data: 03 	
164931	16:39:41.352	0.00000335	Gppw.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 1, Data: 35 	
164932	16:39:41.352	0.00000363	Gppw.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 1, Data: 39 	
164933	16:39:41.352	0.00176279	Gppw.exe	IOCTL_SERIAL_CLR_DTR                	COM9	SUCCESS		
164934	16:39:41.352	0.00189018	Gppw.exe	IOCTL_SERIAL_CLR_RTS                	COM9	SUCCESS		
164935	16:39:41.352	0.00196757	Gppw.exe	IOCTL_SERIAL_SET_DTR                	COM9	SUCCESS		
164936	16:39:41.352	0.00235393	Gppw.exe	IOCTL_SERIAL_SET_RTS                	COM9	SUCCESS		
